year,sector,shap_value,direction,sector_label
2004,agriculture_va_pct_gdp,3.015772819519043,positive,Agriculture
2004,unemployment_rate,1.9926872253417969,positive,Labor Market
2004,trade_pct_gdp,1.4494065046310425,positive,Trade
2004,gross_capital_formation_pct,0.8874049186706543,positive,Investment
2004,brent_annual_avg_usd,-0.3582519590854645,negative,Oil Price
2004,industry_va_pct_gdp,-0.5986814498901367,negative,Industry
2004,services_va_pct_gdp,-1.094112515449524,negative,Services
2005,services_va_pct_gdp,8.323202133178711,positive,Services
2005,agriculture_va_pct_gdp,4.399393558502197,positive,Agriculture
2005,industry_va_pct_gdp,3.732272148132324,positive,Industry
2005,trade_pct_gdp,2.927295207977295,positive,Trade
2005,unemployment_rate,2.0526602268218994,positive,Labor Market
2005,gross_capital_formation_pct,1.6197041273117065,positive,Investment
2005,brent_annual_avg_usd,0.9879118204116821,positive,Oil Price
2006,services_va_pct_gdp,11.62193775177002,positive,Services
2006,industry_va_pct_gdp,5.774603366851807,positive,Industry
2006,agriculture_va_pct_gdp,4.695042133331299,positive,Agriculture
2006,trade_pct_gdp,2.9865543842315674,positive,Trade
2006,gross_capital_formation_pct,2.256159782409668,positive,Investment
2006,unemployment_rate,1.2068644762039185,positive,Labor Market
2006,brent_annual_avg_usd,1.1288738250732422,positive,Oil Price
2007,services_va_pct_gdp,10.08342170715332,positive,Services
2007,agriculture_va_pct_gdp,3.640491008758545,positive,Agriculture
2007,industry_va_pct_gdp,3.3986153602600098,positive,Industry
2007,trade_pct_gdp,2.9327967166900635,positive,Trade
2007,unemployment_rate,1.0145916938781738,positive,Labor Market
2007,brent_annual_avg_usd,0.871871292591095,positive,Oil Price
2007,gross_capital_formation_pct,-0.2006504237651825,negative,Investment
2008,services_va_pct_gdp,5.491996765136719,positive,Services
2008,industry_va_pct_gdp,2.0514655113220215,positive,Industry
2008,brent_annual_avg_usd,0.6975875496864319,positive,Oil Price
2008,unemployment_rate,0.689049482345581,positive,Labor Market
2008,agriculture_va_pct_gdp,0.3915277123451233,positive,Agriculture
2008,trade_pct_gdp,-0.7812986969947815,negative,Trade
2008,gross_capital_formation_pct,-1.8258717060089111,negative,Investment
2009,industry_va_pct_gdp,2.7540550231933594,positive,Industry
2009,agriculture_va_pct_gdp,2.2747962474823,positive,Agriculture
2009,brent_annual_avg_usd,1.2208503484725952,positive,Oil Price
2009,unemployment_rate,0.498566210269928,positive,Labor Market
2009,trade_pct_gdp,0.08389216661453247,positive,Trade
2009,gross_capital_formation_pct,-0.3816734552383423,negative,Investment
2009,services_va_pct_gdp,-1.070129632949829,negative,Services
2010,industry_va_pct_gdp,1.8746885061264038,positive,Industry
2010,agriculture_va_pct_gdp,1.2815215587615967,positive,Agriculture
2010,brent_annual_avg_usd,1.0065841674804688,positive,Oil Price
2010,trade_pct_gdp,0.26062488555908203,positive,Trade
2010,gross_capital_formation_pct,-0.7262774705886841,negative,Investment
2010,services_va_pct_gdp,-1.128324031829834,negative,Services
2010,unemployment_rate,-1.6620221138000488,negative,Labor Market
2011,industry_va_pct_gdp,0.9306373000144958,positive,Industry
2011,agriculture_va_pct_gdp,0.7635119557380676,positive,Agriculture
2011,brent_annual_avg_usd,-0.023780686780810356,negative,Oil Price
2011,gross_capital_formation_pct,-0.6416198015213013,negative,Investment
2011,trade_pct_gdp,-0.7648290991783142,negative,Trade
2011,services_va_pct_gdp,-1.7140647172927856,negative,Services
